Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
73x6Tbojr86Olrm6UDuW0g,"4g5PqjCtAT5WppcucyRW8X,5C8KyBfvAz9PSaOd30eIow",Been So Long,CLUB 84,"Neon Vectors,Macross 82-99",2023-01-20,187200,45,spotify:user:,2023-07-18T02:21:29Z,"future funk,kawaii future bass,vaporwave",0.672,0.838,8,-10.685,0,0.0566,0.148,0.413,0.116,0.812,125.006,4
2LghpngOHU5qpDfbHJ0zfG,5nCSKWO1cpFa0U4YTS5AJQ,FUTURE//PAST,FUTURE//PAST,Remlarr,2023-06-23,260784,41,spotify:user:,2023-07-18T02:21:29Z,future funk,0.742,0.846,10,-7.296,0,0.276,0.0296,0.0104,0.536,0.481,122.433,4
0xDiRlDbx5ZBrPTNd9NzW8,5PyZeODg7q5TGXZfuQEcOj,Love,Love,BarbWalters,2023-07-14,240000,39,spotify:user:,2023-07-18T02:21:29Z,future funk,0.598,0.901,10,-5.332,0,0.367,0.00447,0.335,0.704,0.656,120.002,4
38uw4VpUQYt1LsQorzbA61,2WvX9OTkNK2OI2gkj3y7YM,I'm Attached To You,I'm Attached To You,ED.,2023-05-19,231364,39,spotify:user:,2023-07-18T02:21:29Z,future funk,0.726,0.771,1,-7.76,1,0.206,0.000145,0.0691,0.568,0.251,125.021,4
5brPRu5B01j15YcmXDyM9l,0JLZmhpMl3U0XsZYKaJfCo,BARSTRUCK,BARSTRUCK,That's Matt,2023-07-01,152049,38,spotify:user:,2023-07-18T02:21:29Z,future funk,0.769,0.843,0,-4.127,0,0.409,0.00909,4.19e-06,0.0704,0.655,120.058,4
3jim3ox58BPIlAt79MMOuU,2hK0A1hY8plZiE4gQ0HAmh,Whatever Man,Whateversides,CHANCE デラソウル,2023-06-02,185806,38,spotify:user:,2023-07-18T02:21:29Z,future funk,0.513,0.947,5,-6.678,0,0.572,0.000598,0.0477,0.386,0.36,123.825,4
3uF5YHZgbzJhLhk5cQDeNn,"5jVWik9dHly6LQnh2pJJiO,5fXztnep66sISKMcKCrv1d",Excuses - 2023 Remaster,"To You Baby, With Love (2023 Remaster)","Tupperwave,Meltnet",2023-04-11,181523,36,spotify:user:,2023-07-18T02:21:29Z,"hardvapour,vaporwave",0.846,0.553,11,-7.653,0,0.279,0.392,1.16e-06,0.0778,0.463,101.018,4
0ngsqs9pHgac0TBLNLeDAC,1cuL5MwLZMsu4JWDz9Hf1k,A Dangerous Game,.WAV RACER: REMATCH,ZAKERY,2023-06-09,174545,35,spotify:user:,2023-07-18T02:21:29Z,,0.855,0.685,11,-9.211,0,0.26,0.0289,2.57e-05,0.104,0.446,110.03,4
5QOhIyCkKcHzBSHLHZaF39,5jUNfG1LEuOJnesLjHDUsr,Memory Lane,Memory Lane,AcesToAces,2018-01-20,135019,40,spotify:user:,2023-07-18T02:21:29Z,future funk,0.649,0.699,1,-7.189,1,0.428,0.000447,0.676,0.755,0.417,128.037,4
5vxsAuIK8hY7IS1DCZpQFo,7rgCh0Go1ezmcV75kXQM2T,They Should've Let Me Host Family Feud,They Should've Let Me Host Family Feud,Engelwood,2023-07-07,201766,35,spotify:user:,2023-07-18T02:21:29Z,chillhop,0.78,0.921,7,-7.219,1,0.248,0.00954,0.87,0.666,0.823,121.008,4
0qquh09j70YeZeg5aKaPYe,7JKnqDyLGxoq9k6WjT24oB,Fly with Me,Star Virgin III Deluxe,サクラSAKURA-LEE,2023-06-28,169543,36,spotify:user:,2023-07-18T02:21:29Z,future funk,0.88,0.835,4,-9.271,0,0.262,0.000374,0.0,0.293,0.622,119.002,4
16agwz0BRxMWoQIUHoZOcc,5dPQ7iBuveTqtdEM8wUQSQ,So Sunny,The Poolside EP,SUPERCAT64 ビンクス猫,2023-07-21,168744,36,spotify:user:,2023-07-18T02:21:29Z,,0.936,0.581,11,-10.544,0,0.327,0.000779,0.409,0.301,0.828,123.952,4
3bVVmBBPPQ47Go4NkGC3XW,"6owH8F2INpb18PhnISiVh2,739rlT7CS6nZDmGB9Y9qCR",Million Miles Away - Edit,Million Miles Away (Edit),"Vantage,Milk Talk",2023-07-05,211995,38,spotify:user:,2023-07-18T02:21:29Z,future funk,0.685,0.846,1,-6.108,0,0.0385,0.0154,0.00917,0.315,0.765,108.01,4
5TbjIor0t2AIA33MdRIPng,"0Hoo2QCcZxJ8VOl53hr5AB,5sslm1HcMsBXOetapPkm7S",Night Cross,Night Cross,"Zai Kowen,Brayan Rojitas",2023-07-10,166787,34,spotify:user:,2023-07-18T02:21:29Z,future funk,0.732,0.732,6,-9.566,0,0.272,0.0011,0.926,0.369,0.374,128.05,4
2I5LFMDqP747SrYJv5HWun,"4g5PqjCtAT5WppcucyRW8X,5C8KyBfvAz9PSaOd30eIow,6owH8F2INpb18PhnISiVh2",There's Something,CLUB 84,"Neon Vectors,Macross 82-99,Vantage",2023-01-20,202380,38,spotify:user:,2023-07-18T02:21:29Z,"future funk,kawaii future bass,vaporwave",0.649,0.893,11,-9.227,0,0.0492,0.00368,0.62,0.746,0.813,123.798,4
