Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
65OVbaJR5O1RmwOQx0875b,"3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK",Wants and Needs (feat. Lil Baby),Scary Hours 2,"Drake,Lil Baby",2021-03-05,192956,83,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:57:14Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop,atl trap,trap",0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,4
68Dni7IE4VyPkTOH9mRWHr,6l3HvQ5sa6mXTsMTB19rO5,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292799,90,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:57:22Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,4
1xzBco0xcoJEDXktl7Jxrr,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,MUDBOY,Sheck Wes,2018-10-05,183906,80,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:57:31Z,"pop rap,rap,trap",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,4
5gZYpjakt37G3c58FKcQwJ,"6Xgp2XMz1fhVYe7i6yNAax,699OTQXzgjhIYAHMy9RyPD",Miss The Rage (feat. Playboi Carti),Trip At Knight (Complete Edition),"Trippie Redd,Playboi Carti",2021-08-21,236883,65,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:57:47Z,"melodic rap,rap,trap,atl hip hop,plugg,pluggnb,rage rap",0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,4
0fv2KH6hac06J86hBUTcSf,4V8LLVI7PbaPR0K2TGSxFF,NEW MAGIC WAND,IGOR,"Tyler, The Creator",2019-05-17,195320,82,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:58:22Z,"hip hop,rap",0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,4
5m0yZ33oOy0yYBtdTXuxQe,5f7VJjfbwm532GiveGC0ZK,Low Down,My Turn (Deluxe),Lil Baby,2020-05-01,144651,80,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:58:35Z,"atl hip hop,atl trap,rap,trap",0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,4
6V7g6qM8wheMivMWrzbPTM,2HUwZ0kumzCSlhFcjFZfpp,Leave Me Alone,LOVE FOR GUALA,Flipp Dinero,2019-11-22,195637,72,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:58:54Z,"melodic rap,trap",0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,4
7rvyVWja33WG9R97oeJAjx,0HkcYmcjrBR3SCw9Ld5VZk,Envy Me,Wildboy,Calboy,2019-05-31,120133,70,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:58:59Z,"chicago rap,melodic rap",0.74,0.488,1,-7.664,0,0.27,0.234,0.0,0.241,0.584,149.042,4
2JvzF1RMd7lE3KmFlsyZD8,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,84,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:59:04Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,4
2gwkD6igEhQbDQegRCcdoB,4r63FhuTkUYltbVAg5TQnk,Suge,Baby On Baby,DaBaby,2019-03-01,163320,72,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:59:11Z,"hip hop,north carolina hip hop,pop rap,rap,trap",0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,4
7oLKoGzQVwjZ91AzCn560T,3FBEsNyIwRnOHOf1Rv3SLa,PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,2022-10-20,122070,59,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T01:59:49Z,southern hip hop,0.956,0.515,11,-9.962,0,0.337,0.305,0.0,0.156,0.69,119.937,4
4ea9w8c4ROqiZpJVhfBA3m,"50co4Is1HCEo8bhOyUWKpn,0Y5tJX1MQlPlqiwlOH1tJY,2hlmm7s2ICUX0LVIhVFlZQ",Hot (Remix) [feat. Gunna and Travis Scott],So Much Fun (Deluxe),"Young Thug,Travis Scott,Gunna",2019-12-20,279906,76,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:00:27Z,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap,hip hop,slap house",0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983,4
0uxSUdBrJy9Un0EYoBowng,4O15NlyKLIASxsJ0PrXPfz,20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,2017-11-17,220586,84,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:00:33Z,"hip hop,melodic rap,philly rap,rage rap,rap",0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,4
39Yp9wwQiSRIDOvrVg7mbk,"2PaZWGu5T5nHjY2xxAkFsT,0Y5tJX1MQlPlqiwlOH1tJY,0fA0VVWsXO9YnASrzqfmYu",THE SCOTTS,THE SCOTTS,"THE SCOTTS,Travis Scott,Kid Cudi",2020-04-24,165977,77,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:00:42Z,"viral rap,hip hop,rap,slap house,ohio hip hop,pop rap",0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,4
57FNYz14MjKVoRTbxtv4A1,"6MPCFvOQv5cIGfw3jODMF0,4Gso3d4CscCijv0lmajZWs,757aE44tKEUQEqRuT6GnEB",Lemonade - Remix,B4 The Storm (Complete Edition),"Internet Money,Don Toliver,Roddy Ricch",2020-10-23,181495,45,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:00:58Z,"pop rap,rap,trap,melodic rap",0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045,4
2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,85,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:01:17Z,"hip hop,rap,slap house",0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4
1fewSx2d5KIZ04wsooEBOz,"0iEtIxbK0KxaSlF7G42ZOp,2hlmm7s2ICUX0LVIhVFlZQ",Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES (Deluxe),"Metro Boomin,Gunna",2018-11-06,203266,84,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:01:33Z,"rap,atl hip hop,melodic rap,trap",0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,4
1jaTQ3nqY3oAAYyCTbIvnM,2LIk90788K0zvyj2JJVwkJ,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,79,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:01:42Z,"deep underground hip hop,kentucky hip hop,pop rap,rap",0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,4
0R31T52Ymgobb6kT4wu0Aq,2Bb57H1EnnHxtpSyOAJF8l,Ya Digg,MiLLion DoLLa MiSSion,Frostydasnowmann,2017-01-20,173674,61,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:01:58Z,cali rap,0.79,0.432,1,-14.736,1,0.306,0.0394,0.0,0.111,0.221,99.996,4
11kDth1aKUEUMq9r1pqyds,0Y5tJX1MQlPlqiwlOH1tJY,5% TINT,ASTROWORLD,Travis Scott,2018-08-03,196138,81,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:02:09Z,"hip hop,rap,slap house",0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,4
0SrOA5HwtHDkYMGipWTmX0,"0ErzCpIMyLcjPiwT4elrtZ,2GRDbUJRZwKzeiwxrjJdmQ,0nDYL7dp5xLG0IID5wQwel",DO IT AGAIN (feat. 2Rare) - Sped Up,DO IT AGAIN (feat. 2Rare) [Sped Up + Slowed Down Versions],"NLE Choppa,2Rare,Sped Up Songs + Nightcore",2022-12-02,193823,37,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:02:17Z,"memphis hip hop,rap,philly drill,philly rap,sped up",0.802,0.646,10,-8.14,0,0.32,0.0518,1.02e-05,0.117,0.621,176.094,4
4FyesJzVpA39hbYvcseO2d,4O15NlyKLIASxsJ0PrXPfz,Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,2022-10-17,123890,82,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:02:35Z,"hip hop,melodic rap,philly rap,rage rap,rap",0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4
3yfqSUWxFvZELEM4PmlwIR,7dGJo4pcD2V6oG8kP0tJRR,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,88,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:03:03Z,"detroit hip hop,hip hop,rap",0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4
3TZwjdclvWt7iPJUnMpgcs,0AuW7OCyKfFrsMbtHrYgIV,Jump Around,House of Pain (Fine Malt Lyrics),House Of Pain,1994-07-21,214946,3,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:03:22Z,"gangster rap,hip hop,rap rock,west coast rap",0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,4
77Ft1RJngppZlq59B6uP0z,7dGJo4pcD2V6oG8kP0tJRR,Lose Yourself,SHADYXV,Eminem,2014-11-24,320626,68,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:03:28Z,"detroit hip hop,hip hop,rap",0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,4
3sNVsP50132BTNlImLx70i,5K4W6rqBFWDnAN6FQUkS6x,Bound 2,Yeezus,Kanye West,2013-06-18,229146,87,spotify:user:3ghv9i8p7kprtcwggpjcblbnj,2023-07-09T02:03:40Z,"chicago rap,hip hop,rap",0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,4
