Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2f0w0SeLfd5UseG4qEhmQo,5UMQV83wwZCCvRSQCVjZw6,2wice,The Obliterati,Mission Of Burma,2006-05-23,216253,0,spotify:user:criznittles,2021-09-04T08:04:18Z,"alternative rock,boston rock,gbvfi,noise pop,post-hardcore,post-punk,punk",0.45,0.952,4,-5.405,1,0.0351,2.38e-06,0.202,0.328,0.962,130.152,4
450tncpERTeiCPSPxD5Avf,23yoMONerB8J7wfu2nY8GZ,6000 Shipwrecks,Where Is The Glow?,Kite Flying Society,2006-08-08,214626,2,spotify:user:criznittles,2021-09-04T08:04:18Z,"san diego indie,skramz",0.577,0.536,4,-10.494,1,0.0278,0.205,0.0,0.182,0.681,134.024,4
7dOuR5vmwwOw81yY8Jxkuk,4GHF2TzZ7lTe8qNvLl8R01,An Old Familiar Scene,Back To The Web,Elf Power,2006-04-25,253413,5,spotify:user:criznittles,2021-09-04T08:04:18Z,"athens indie,elephant 6",0.455,0.878,10,-4.717,0,0.0385,0.195,0.0318,0.181,0.535,127.027,4
0NM08tPTZC32ZwLCa268ys,03G0pJHLHj7FRuCV5OYzpv,Benton Harbor Blues,Bitter Tea,The Fiery Furnaces,2006,443293,8,spotify:user:criznittles,2021-09-04T08:04:18Z,brooklyn indie,0.793,0.609,0,-10.985,1,0.124,0.8,0.24,0.334,0.904,118.938,4
0Zv54yEKdaVUBtMkn5ZRjv,03G0pJHLHj7FRuCV5OYzpv,Benton Harbor Blues - Again,Bitter Tea,The Fiery Furnaces,2006,193813,30,spotify:user:criznittles,2021-09-04T08:04:18Z,brooklyn indie,0.834,0.458,0,-11.161,1,0.0377,0.868,0.169,0.109,0.965,119.252,4
3WJeoWwte1LDtVWXwXqnRG,3qGFYRvGJrTu5reN4ZIEKt,Black and White Movie,Black And White Movie,Janove Ottesen,2004,238493,0,spotify:user:criznittles,2021-09-04T08:04:18Z,"norwegian indie,rogaland musikk",0.386,0.755,2,-5.476,1,0.0301,0.00164,0.0,0.331,0.532,167.488,4
02buUvk8TncnSlQqxJwm1U,1ZsnHGOLYFg8CAHQQBc1ut,Born Under A Bad Sign,Coles Corner,Richard Hawley,2005-09-05,221413,40,spotify:user:criznittles,2021-09-04T08:04:18Z,"british singer-songwriter,chamber pop,sheffield indie,singer-songwriter,solo wave",0.631,0.467,10,-11.221,1,0.0237,0.533,0.000452,0.118,0.7,81.998,4
4sNEZucuWjSzkERkXcywia,09TjRWg77MzDY71R1ZDPV4,Carly,Hello,The Capes,2005-11-11,166453,1,spotify:user:criznittles,2021-09-04T08:04:18Z,,0.421,0.959,2,-3.299,1,0.108,0.00713,7.43e-05,0.596,0.739,152.023,4
0ri4KjfqdOBovV9aGa3DGL,77b9btQMi3W5bSfRedXSiu,Certain Kind of Light,Certain Kind of Light,Gus Black,2006-04-28,158720,2,spotify:user:criznittles,2021-09-04T08:04:18Z,,0.617,0.772,11,-6.934,1,0.0335,0.122,5.85e-05,0.0811,0.752,132.868,3
0pIwZXASU355a9QWM5vjNm,3kbBWco9PZ5eSQsNScwG6U,Conventional Wisdom,You in Reverse,Built To Spill,2006-04-10,381106,31,spotify:user:criznittles,2021-09-04T08:04:18Z,"alternative rock,chamber pop,idaho indie,indie rock,lo-fi,noise rock",0.253,0.858,7,-5.494,1,0.0409,0.154,0.288,0.409,0.553,150.027,4
