Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6RIW588nB6iXKoZ2pKxGtX,"5aIqB5nVVvmFsvSdExz408,6D7itIGHznFfHx3ZDqCk3j","Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Suites for Solo Cello,"Johann Sebastian Bach,János Starker",1997,161000,33,spotify:user:okayam,2020-11-18T09:35:35Z,"baroque,classical,early music,german baroque,classical cello,hungarian classical performance",0.207,0.138,7,-19.129,1,0.0483,0.924,0.862,0.103,0.427,144.952,4
67PSa2ZYjTtS01UWrxkKAy,"2gClsBep1tt1rv1CN210SO,57ziOSBD3x0PhVbl7MXTgI,1hzIjeYlO245tJ5hS50dUJ","Fauré: Sicilienne, Op. 78",Fauré: Complete Chamber Music for Strings,"Gabriel Fauré,Gautier Capuçon,Michel Dalberto",2011-09-05,232995,38,spotify:user:okayam,2020-11-18T09:35:57Z,"classical,post-romantic era,classical cello,french classical piano",0.215,0.0252,3,-27.395,1,0.0484,0.994,0.964,0.12,0.134,136.736,3
2xCtrN9PYxH6WIOUj06jM6,2iSn12gFykgv92aTvPiH4s,River Flows in You,River Flows in You,HAUSER,2019-11-22,180866,55,spotify:user:okayam,2020-11-18T09:35:20Z,classical cello,0.248,0.385,9,-8.929,1,0.0378,0.972,0.889,0.11,0.362,135.496,4
3xr8COed4nPPn6XWZ0iCGr,0fauHpmSHwodVYIjTqOGHz,River Flows in You,The Best - Reminiscent 10th Anniversary,Yiruma,2011-12-09,218293,67,spotify:user:okayam,2020-11-18T09:35:48Z,"korean instrumental,neo-classical,new age piano",0.287,0.292,9,-19.285,1,0.0541,0.968,0.978,0.09,0.346,145.703,4
5fdp9rXfEixCGLM1Og4EN1,"459INk8vcC0ebEef82WjIK,5kgAnLGI2biBHvY7hDsF7P",Gnossienne No. 1,Gnossienne No. 1,"Erik Satie,Alena Cherny",2013,296480,68,spotify:user:okayam,2020-11-18T09:36:02Z,"classical,early avant garde,early modern classical,impressionism,post-romantic era,ukrainian classical piano",0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4
3YYKrn3iGOAel605Znt3ai,00sazWvoTLOqg5MFwC68Um,"Comptine d'un autre été, l'après-midi",Amelie from Montmartre (Original SoundTrack),Yann Tiersen,2001-04-23,140733,0,spotify:user:okayam,2020-11-18T09:35:06Z,"compositional ambient,french soundtrack",0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,4
4VeoFvIFJtISqdrXImcVzi,"19hTDhMbh74H6N8PpT4Az7,5utrkuva7MklQHstAWALQm,3OjELkDaVNhnlIc5AtkHJH,2te8SJ7BOjLRRRMZLBb4n2,0G1V70m83Z5zAG8Pp8MS2s",Mo Ghile Mear (Arr. Desmond Earley),Invisible Stars: Choral Works of Ireland & Scotland,"Seán Clárach Mac Domhnaill,The Choral Scholars of University College Dublin,Mark Waters,Tristan Rosenstock,Desmond Earley",2015-12-11,244466,45,spotify:user:okayam,2020-11-18T09:34:54Z,,0.395,0.299,8,-19.415,1,0.0925,0.976,0.0238,0.124,0.175,124.293,4
1y11tTHc5NXwnABKbUGnKI,0zQ8ZslJkMxLY8xw3E6dp2,Place du Tertre,"Move (feat. Diego Imbert, Hono Winterstein & Franck Wolf)",Biréli Lagrène Trio,2004-10-11,292960,12,spotify:user:okayam,2020-11-18T09:36:36Z,gypsy jazz,0.726,0.307,2,-12.035,0,0.0599,0.952,0.918,0.106,0.494,126.512,4
6gQf1HtyggWLytLvhrpcOD,0zQ8ZslJkMxLY8xw3E6dp2,This Can't Be Love,"Move (feat. Diego Imbert, Hono Winterstein & Franck Wolf)",Biréli Lagrène Trio,2004-10-11,248853,10,spotify:user:okayam,2020-11-18T09:36:43Z,gypsy jazz,0.582,0.366,9,-8.908,0,0.043,0.894,0.857,0.0819,0.632,136.448,4
6BzHYSQsPB8U3VAKMy51hH,0G3ug1mpFw0I50kvAIxNhS,Minor Swing,Generation Django,Biréli Lagrène,2009-11-02,561293,10,spotify:user:okayam,2020-11-18T09:36:48Z,"french jazz,gypsy jazz,jazz guitar",0.558,0.966,4,-1.234,0,0.0612,0.611,0.38,0.952,0.696,105.229,4
6cm2KgIJ3LvPmZgWCF1NKn,3LgwMt7NY7ofdnipSHcahX,Blue Skies,Generation Django,Rocky Gresset,2009-11-02,227826,4,spotify:user:okayam,2020-11-18T09:36:51Z,gypsy jazz,0.494,0.675,2,-5.367,1,0.0719,0.761,0.45,0.163,0.82,206.906,4
3BF3uROPt95X3X7ZixXFRC,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Waltz For Debby,Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,317986,39,spotify:user:okayam,2020-11-18T09:36:56Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.556,0.258,5,-11.745,1,0.0412,0.698,5.56e-05,0.0954,0.414,83.964,4
3B40RqUhM9gO0RQxeBcRKw,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Toy (Take 8),Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,306640,17,spotify:user:okayam,2020-11-18T09:37:00Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.616,0.351,7,-12.225,1,0.0374,0.64,0.00798,0.145,0.692,124.307,4
6UVl12QoQEOGjJCocfBJyn,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Goodbye,Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,377546,44,spotify:user:okayam,2020-11-18T11:13:02Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.532,0.0358,0,-18.644,0,0.0406,0.959,0.78,0.144,0.283,112.589,4
71igtS6V0X6v1s53CWS1nO,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Who Cares?,Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,358760,45,spotify:user:okayam,2020-11-18T11:13:02Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.677,0.382,0,-11.154,1,0.0408,0.704,0.123,0.098,0.729,115.189,4
7xOr2JuNZH1Ud1wPlQOelC,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Venice,Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,176146,44,spotify:user:okayam,2020-11-18T11:13:02Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.599,0.0284,8,-27.088,1,0.0386,0.915,0.62,0.102,0.224,94.048,4
2aiKYgPdZfuKeV0ChO8JGw,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Toy,Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,310226,22,spotify:user:okayam,2020-11-18T11:13:02Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.661,0.359,7,-11.761,1,0.0419,0.69,0.0289,0.0684,0.693,122.144,4
4KzgfINZ4PlPU1zalohTyP,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Elsa,Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,352093,24,spotify:user:okayam,2020-11-18T11:13:02Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.535,0.078,8,-20.741,0,0.0355,0.941,0.831,0.121,0.229,99.187,3
0xl1YiGQYQpnJWepXy9gKy,"5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF",Nancy (With The Laughing Face),Know What I Mean? [Original Jazz Classics Remasters],"Cannonball Adderley,Bill Evans",1961,248453,39,spotify:user:okayam,2020-11-18T11:13:02Z,"bebop,cool jazz,hard bop,jazz,jazz blues,contemporary post-bop,jazz piano,vocal jazz",0.437,0.0431,3,-19.289,1,0.0427,0.965,0.724,0.143,0.219,185.181,3
