Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
52m8IrzripYje6bVxUILQU,2ye2Wgw4gimLv2eAKyk1NB,Hit The Lights (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,255866,39,spotify:user:evan4162007,2022-09-22T23:42:30Z,"hard rock,metal,old school thrash,rock,thrash metal",0.249,0.97,4,-5.535,0,0.21,4.3e-05,0.224,0.138,0.287,160.687,4
0adbIekxPM5cWQ1cwLwAEF,2ye2Wgw4gimLv2eAKyk1NB,The Four Horsemen (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,432546,44,spotify:user:evan4162007,2022-09-22T23:42:34Z,"hard rock,metal,old school thrash,rock,thrash metal",0.222,0.938,0,-6.91,1,0.375,0.00171,0.0845,0.108,0.329,203.098,4
5iLhIpIgGZxI7kjgj9807I,2ye2Wgw4gimLv2eAKyk1NB,Motorbreath (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,187840,38,spotify:user:evan4162007,2022-09-22T23:42:38Z,"hard rock,metal,old school thrash,rock,thrash metal",0.289,0.938,1,-6.083,1,0.163,0.000116,0.0615,0.106,0.349,173.882,4
5Kb48LGt4hW7bbpRWmYmUI,2ye2Wgw4gimLv2eAKyk1NB,Jump In The Fire (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,281293,38,spotify:user:evan4162007,2022-09-22T23:42:42Z,"hard rock,metal,old school thrash,rock,thrash metal",0.29,0.911,5,-5.667,0,0.0975,0.00617,0.0108,0.331,0.658,178.636,4
1kjegEojOb6ciCGuj0tcLW,2ye2Wgw4gimLv2eAKyk1NB,(Anesthesia)--Pulling Teeth (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,254560,34,spotify:user:evan4162007,2022-09-22T23:42:47Z,"hard rock,metal,old school thrash,rock,thrash metal",0.224,0.886,7,-7.619,1,0.0772,0.000626,0.834,0.63,0.132,99.286,4
0c7TUi67lKsso6WAKpOVzu,2ye2Wgw4gimLv2eAKyk1NB,Whiplash (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,248546,41,spotify:user:evan4162007,2022-09-22T23:42:58Z,"hard rock,metal,old school thrash,rock,thrash metal",0.386,0.911,4,-6.474,0,0.0956,0.000608,0.443,0.135,0.188,158.045,4
4VQudlmWuKvvo1vj2vDUHW,2ye2Wgw4gimLv2eAKyk1NB,Phantom Lord (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,301293,33,spotify:user:evan4162007,2022-09-22T23:43:03Z,"hard rock,metal,old school thrash,rock,thrash metal",0.212,0.973,2,-5.307,1,0.322,0.000842,0.0213,0.0921,0.112,159.381,4
1j90Mz6iIuuK4uiqXYVcQf,2ye2Wgw4gimLv2eAKyk1NB,No Remorse (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,386560,36,spotify:user:evan4162007,2022-09-22T23:43:12Z,"hard rock,metal,old school thrash,rock,thrash metal",0.296,0.915,9,-5.979,1,0.163,0.000297,0.346,0.362,0.245,96.715,4
6vVRtEW5T51Zd8qnyrshR1,2ye2Wgw4gimLv2eAKyk1NB,Seek & Destroy (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,414720,48,spotify:user:evan4162007,2022-09-22T23:43:17Z,"hard rock,metal,old school thrash,rock,thrash metal",0.439,0.963,9,-5.508,1,0.277,0.0364,0.00896,0.0784,0.435,140.805,4
6yPJaDkXDkFU9YSzWl8wuD,2ye2Wgw4gimLv2eAKyk1NB,Metal Militia (Remastered),Kill 'Em All (Deluxe Remaster),Metallica,1983-07-25,311466,35,spotify:user:evan4162007,2022-09-22T23:43:22Z,"hard rock,metal,old school thrash,rock,thrash metal",0.166,0.956,9,-5.307,1,0.145,8.08e-05,0.00515,0.118,0.238,176.217,4
