Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
40riOy7x9W7GXjyGp4pjAv,"0ECwFtbIWEVNwjlrfc6xoL","Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,85,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:06Z,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
6RUKPb4LETWmmr3iAEQktW,"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU","Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,87,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:27Z,"pop,permanent wave",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
3QGsuHI8jO1Rx4JWLUh9jd,"7n2wHs1TKAczGzO7Dd2rGr","Treat You Better","Illuminate","Shawn Mendes",2017-04-20,187973,88,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:30Z,"canadian pop,pop,viral pop",0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4
2hrUO4drrO63i7FYbCLBl2,"6MDME20pz9RveH9rEXvrOM,3Isy6kedDrgPYoTS1dazA9,1zNqDE7qDGCsyzJwohVaoX","Rockabye (feat. Sean Paul & Anne-Marie)","What Is Love? (Deluxe Edition)","Clean Bandit,Sean Paul,Anne-Marie",2018-11-30,251173,75,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:38Z,"pop,uk dance,uk funky,dance pop,dancehall,pop rap",0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,4
1zB4vmk8tFRmM9UULNzbLB,"53XhwfbYqKCa1cC15pYq2q","Thunder","Evolve","Imagine Dragons",2017-06-23,187146,87,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:40Z,"modern rock,pop,rock",0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4
0KKkJNfGyhkQ5aFogxQAPU,"0du5cEVh5yTK9QJze8zA0C","That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,89,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:41Z,"dance pop,pop",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
7qiZfU4dY1lWllzX7mPBI3,"6eUKZXaKkcviH0Ku9w2n3V","Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,88,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:42Z,"pop,singer-songwriter pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,91,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:43Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
5GXAXm5YOmYT0kL5jHvYBt,"1Xyo4u8uXC1ZmMpatF05PJ,4tZwfgrHOc3mvqYlEYSvVi","I Feel It Coming","Starboy","The Weeknd,Daft Punk",2016-11-24,269186,78,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:44Z,"canadian contemporary r&b,canadian pop,pop,electro,filter house,rock",0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,4
7JJmb5XwzOO8jgpou264Ml,"7n2wHs1TKAczGzO7Dd2rGr","There's Nothing Holdin' Me Back","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,199440,88,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:46Z,"canadian pop,pop,viral pop",0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,4
7BKLCZ1jbUBVqRi2FVlTVw,"69GGBxA162lTqCwzJG5jLp,26VFTg2z8YR0cCuwLzESi2","Closer","Closer","The Chainsmokers,Halsey",2016-07-29,244960,86,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:47Z,"pop,electropop,etherpop,indie poptimism",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
0AS63m1wHv9n4VVRizK6Hc,"7n2wHs1TKAczGzO7Dd2rGr","Mercy","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,208733,83,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:48Z,"canadian pop,pop,viral pop",0.555,0.662,11,-4.952,0,0.0827,0.125,0,0.111,0.356,148.128,4
0lYBSQXN6rCTvUZvg9S0lU,"540vIaP2JwjQb9dm3aArA4,1uNFoZAHBGtllmzznpCI3s","Let Me Love You","Encore","DJ Snake,Justin Bieber",2016-08-05,205946,86,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:49Z,"dance pop,edm,electronic trap,pop,pop dance,canadian pop",0.649,0.716,8,-5.371,1,0.0349,0.0863,0.0000263,0.135,0.163,99.988,4
0afhq8XCExXpqazXczTSve,"6eUKZXaKkcviH0Ku9w2n3V","Galway Girl","÷ (Deluxe)","Ed Sheeran",2017-03-03,170826,81,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:51Z,"pop,singer-songwriter pop,uk pop",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4
23L5CiUhw2jV1OIMwthR3S,"60d24wfXkVzDSfLS6hyCjZ,64M6ah0SkkRsnPGtGiRAbb","In the Name of Love","In the Name of Love","Martin Garrix,Bebe Rexha",2016-07-29,195706,82,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:53Z,"dutch edm,edm,pop,pop dance,progressive house,dance pop",0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,4
72gv4zhNvRVdQA0eOenCal,"6MDME20pz9RveH9rEXvrOM,1Xylc3o4UrD53lo9CvFvVg","Symphony (feat. Zara Larsson)","What Is Love? (Deluxe Edition)","Clean Bandit,Zara Larsson",2018-11-30,212733,80,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:54Z,"pop,uk dance,uk funky,scandipop,swedish electropop,swedish pop",0.715,0.605,0,-5.128,0,0.0428,0.239,0.0000141,0.189,0.454,122.956,4
6b8Be6ljOzmkOmFslEb23P,"0du5cEVh5yTK9QJze8zA0C","24K Magic","24K Magic","Bruno Mars",2016-11-17,225983,82,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:56Z,"dance pop,pop",0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4
7MXVkk9YMctZqd1Srtv4MB,"1Xyo4u8uXC1ZmMpatF05PJ,4tZwfgrHOc3mvqYlEYSvVi","Starboy","Starboy","The Weeknd,Daft Punk",2016-11-25,230453,93,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:57Z,"canadian contemporary r&b,canadian pop,pop,electro,filter house,rock",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
0pqnGHJpmpxLKifKRmU6WP,"53XhwfbYqKCa1cC15pYq2q","Believer","Evolve","Imagine Dragons",2017-06-23,204346,89,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:11:58Z,"modern rock,pop,rock",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
7qvxFz3JodM0A7xEM7k3YD,"6jJ0s89eD6GaHleKKya26X,4ryoUS0W8qXokfMxrlJt6O","Chained To The Rhythm","Witness (Deluxe)","Katy Perry,Skip Marley",2017-06-09,237733,72,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:01Z,"pop,modern reggae",0.562,0.8,0,-5.404,1,0.112,0.0814,0,0.199,0.471,95.029,4
01BC4Xj5tfsfV8DLDrma7q,"1zNqDE7qDGCsyzJwohVaoX","Ciao Adios","Speak Your Mind (Deluxe)","Anne-Marie",2018-04-27,199773,65,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:03Z,"pop",0.694,0.853,7,-3.986,1,0.0934,0.136,0,0.322,0.501,106.098,4
7jEyX4bqaCSdMN4D4JNnVj,"1HBjj22wzbscIZ9sEb5dyf,5exS0bytCYdixgv02DaCm3","Mama","Blue","Jonas Blue,William Singe",2018-11-09,184133,76,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:04Z,"pop,pop dance,tropical house,uk dance,pop r&b",0.738,0.794,11,-4.118,0,0.0416,0.101,0,0.0533,0.566,104.014,4
6rPO02ozF3bM7NnOV4h6s2,"4V8Sr092TqfHkfAA5fXXqG,4VMYDCV2IEDYJArk749S6m,1uNFoZAHBGtllmzznpCI3s","Despacito - Remix","Despacito Feat. Justin Bieber (Remix)","Luis Fonsi,Daddy Yankee,Justin Bieber",2017-04-17,228826,73,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:07Z,"latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino,urbano latino,canadian pop,pop",0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,4
1rfofaqEpACxVEHIZBJe6W,"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn","Havana (feat. Young Thug)","Camila","Camila Cabello,Young Thug",2018-01-12,217306,81,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:09Z,"dance pop,pop,atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",0.765,0.523,2,-4.333,1,0.03,0.184,0.0000356,0.132,0.394,104.988,4
48QmG1dfvMuYLxMPt7KSRA,"3Isy6kedDrgPYoTS1dazA9,6M2wZ9GZgrQXHCFfjv46we","No Lie","Mad Love The Prequel","Sean Paul,Dua Lipa",2018-06-29,221176,84,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:12Z,"dance pop,dancehall,pop,pop rap,uk pop",0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,0.463,102.04,4
5bcTCxgc7xVfSaMV3RuVke,"7CajNmpbOovFoOoasH2HaY,2RdwBSPQiwcmiDo9kixcl8,6jJ0s89eD6GaHleKKya26X,0c173mlxpT3dSFRgMO8XPh,4A0TivfinfALCAMJqqjZIk","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Funk Wav Bounces Vol.1","Calvin Harris,Pharrell Williams,Katy Perry,Big Sean,Funk Wav",2017-06-30,223413,78,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:16Z,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,detroit hip hop,hip hop,pop rap,r&b,rap,trap,funktronica",0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4
5uCax9HTNlzGybIStD3vDh,"4IWBUUAFIplrNtaOHcJPRM","Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211466,88,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:17Z,"pop,talent show,uk pop",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
39cmB3ZoTOLwOTq7tMNqKa,"0NGAZxHanS9e0iNHpR8f2W,7qPLO2XOUaRrRxkvLZ3AEK,5veVxxPm1vzgi6pO2iVA8L","Hear Me Now","Hear Me Now (feat. Zeeba)","Alok,Zeeba,Bruno Martini",2016-10-21,194840,78,spotify:user:9enganjmnlaupunp46tlzje7l,2019-06-18T23:12:18Z,"electro house,pop nacional,sertanejo universitario,slap house,brazilian edm",0.778,0.463,11,-7.603,1,0.0389,0.546,0.00289,0.0731,0.496,121.999,4
