Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1AXQ4ZCUueIfGGEYAdq9Pe,"0L5GV6LN8SWWUWIdBbTLTZ,5SuRAj1A9FEHj5NxS86YAm","Tere Naina","My Name Is Khan (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy,Shafqat Amanat Ali",2010-01-05,278546,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood,classic pakistani pop,sufi",0.522,0.74,0,-7.018,1,0.0465,0.558,0,0.144,0.732,92.618,4
4qRcjFkFqSpLBzcbLDt7HL,"5bv6NvAYNuvd2Vq13nHdG3","Ambarsariya","Fukrey","Sona Mohapatra",2013-05-14,248182,68,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood",0.649,0.458,4,-7.632,0,0.0446,0.574,0,0.113,0.748,180.071,4
0IudGhdeJZwJ0Ps6ndtQDt,"6Mv8GjQa7LKUGCAqa9qqdb,70B80Lwx2sxti0M1Ng9e8K,0Yb0T3wUUNiIvHjqnfkbuH,3GBSge8pq7mpezUQl0GAOA","Falak Tak","Tashan","Vishal-Shekhar,Udit Narayan,Mahalakshmi Iyer,Kausar Munir",2008-03-27,356179,69,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood,chutney,odia pop",0.718,0.697,2,-6.474,0,0.135,0.634,0.0000153,0.0563,0.62,143.907,4
0u8wprNfOdcWpUlWnfMcpP,"0L5GV6LN8SWWUWIdBbTLTZ,3OLGltG8UPIea8sA4w0yg0,0Yb0T3wUUNiIvHjqnfkbuH,0yRC5n90spXG0d3aiDQ0vB","Bol Na Halke Halke","Jhoom Barabar Jhoom","Shankar-Ehsaan-Loy,Rahat Fateh Ali Khan,Mahalakshmi Iyer,Gulzar",2007-05-15,306834,70,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood,classic pakistani pop,qawwali,sufi,classic bollywood",0.637,0.573,11,-6.69,0,0.0491,0.279,0.00000346,0.0617,0.704,90.017,4
3nKEiJUeaWn8q2O9I1xwlB,"6ohaQzKaXrobAL8paLSaxq,1dVygo6tRFXC8CSWURQJq2,0oOet2f43PA68X5RxKobEy,1TbRSunWGZ46mqnapcWxrm","Shukran Allah","Kurbaan (Original Motion Picture Soundtrack)","Salim–Sulaiman,Sonu Nigam,Shreya Ghoshal,Salim Merchant",2009-10-15,290053,67,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,indian folk,modern bollywood",0.432,0.695,1,-8.022,1,0.111,0.732,0.0014,0.274,0.513,116.153,3
4BTPzhEsyW3blWcxcuhLM0,"0L5GV6LN8SWWUWIdBbTLTZ,1SJOL9HJ08YOn92lFcYf8a,2Yf4MRVpt0rcAd5y5h5ph1,5SuRAj1A9FEHj5NxS86YAm","Mitwa","Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy,Shankar Mahadevan,Caralisa Monteiro,Shafqat Amanat Ali",2006-06-08,382973,72,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood,classic pakistani pop,sufi",0.63,0.63,4,-7.525,1,0.0364,0.295,0.0000126,0.0934,0.517,107.103,4
4r8JqkhpTb5tzSKKHnVJIJ,"5GnnSrwNCGyfAU4zuIytiS,4xd7mLI7urqrxELaXhAvzw,3wZBspj86lRk2XLf4gfnSE","Tujhe Bhula Diya","Anjaana Anjaani","Mohit Chauhan,Shekhar Ravjiani,Shruti Pathak",2010-08-19,279429,72,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood",0.644,0.423,11,-8.702,0,0.0324,0.464,0,0.11,0.509,131.903,4
4fgJe7zBjVXvs8HxtE21Y9,"0LyfQWJT6nXafLPZqxe9Of","","","",0000,0,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"",0.486,0.898,9,-3.791,1,0.171,0.309,0,0.0886,0.648,88.335,4
517bz7zkWELmyL4eZzJ5R9,"0E02VcvA5p1ndkLdqWD5JB","Galliyan (From Ek Villain)","Best Of Shraddha Kapoor","Ankit Tiwari",2017-03-03,340399,66,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood",0.552,0.75,10,-5.215,0,0.039,0.445,0.0000737,0.291,0.4,89.999,4
5zcfnScTSFGCHGY1yeXWke,"01DlVvmRpQFutrYzh0HmF8","Ishq Sufiyana (Male)","The Dirty Picture","Kamal Khan",2011-10-29,325257,65,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"punjabi pop",0.511,0.622,10,-6.184,1,0.0435,0.0662,0.0000778,0.0465,0.387,85.349,4
4CKi5CijlpT7ljOgLN7ReX,"3OLGltG8UPIea8sA4w0yg0","Jiya Dhadak Dhadak Jaye","Kalyug (Original Motion Picture Soundtrack)","Rahat Fateh Ali Khan",2005-12-09,319480,49,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"classic pakistani pop,filmi,modern bollywood,qawwali,sufi",0.69,0.533,0,-9.741,1,0.0342,0.157,0.0000602,0.121,0.399,119.924,4
5upmbnXemLfPvs3d2eyHml,"0L5GV6LN8SWWUWIdBbTLTZ,3OLGltG8UPIea8sA4w0yg0,1SJOL9HJ08YOn92lFcYf8a,2hgViyN0RqyQQpfjIb0g3W","Sajdaa","My Name Is Khan (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy,Rahat Fateh Ali Khan,Shankar Mahadevan,Richa Sharma",2010-01-05,365706,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood,classic pakistani pop,qawwali,sufi",0.468,0.737,8,-7.274,1,0.0765,0.726,0.00272,0.0655,0.572,79.448,4
7IC7D8HIUgBqPiKDpOFBQt,"0LyfQWJT6nXafLPZqxe9Of","","","",0000,0,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"",0.611,0.598,4,-8.178,1,0.0551,0.345,0.0000118,0.183,0.604,177.963,4
1O5mTSQa0sCce9ghhDqIZl,"1mYsTxnqsietFxj1OgoGbG,4W91bbPB2CTSsHwt7eqNl7","Jashn-E-Bahaaraa","Jodhaa Akbar (Original Motion Picture Soundtrack)","A.R. Rahman,Javed Ali",2007-12-31,315173,72,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,desi pop,modern bollywood",0.7,0.343,2,-10.474,1,0.0308,0.767,0,0.0789,0.488,137.864,4
4Zuei1UAP5pB5ovra9dnnp,"1mYsTxnqsietFxj1OgoGbG","Khwaja Mere Khwaja","Jodhaa Akbar (Original Motion Picture Soundtrack)","A.R. Rahman",2007-12-31,416573,57,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi",0.565,0.55,11,-8.003,1,0.0333,0.239,0,0.132,0.26,122.06,4
4iFPsNzNV7V9KJgcOX7TEO,"2oSONSC9zQ4UonDKnLqksx,1wRPtKGflJrBx9BmLsSwlU","Tu Jaane Na","Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack)","Atif Aslam,Pritam",2009-11-06,341933,69,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"classic pakistani pop,filmi,modern bollywood,sufi,indian instrumental",0.702,0.86,7,-3.969,1,0.0345,0.361,0.00000133,0.133,0.829,120.042,4
6Gx3Ry4ORogdMibbdITOuN,"0LyfQWJT6nXafLPZqxe9Of","","","",0000,0,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"",0.375,0.312,7,-10.656,0,0.031,0.85,0.00988,0.137,0.22,77.527,4
0zuqABAUKs8WLVq8vCmfst,"0LyfQWJT6nXafLPZqxe9Of","","","",0000,0,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"",0.456,0.668,9,-7.795,0,0.0373,0.604,0.000145,0.141,0.263,144.062,4
4rSmmC6OYmjVOYxr8ruVWN,"1wRPtKGflJrBx9BmLsSwlU,39fT56OHEL2E98zDKrqBsC","Mere Bina","Crook (Original Motion Picture Soundtrack)","Pritam,Nikhil D'Souza",2010-09-03,289560,68,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,indian instrumental,modern bollywood,desi pop,indian indie",0.511,0.767,2,-5.699,1,0.0524,0.651,0,0.153,0.463,79.923,4
1EjxJHY9A6LMOlvyZdwDly,"1wRPtKGflJrBx9BmLsSwlU,3tHD07u1ON4uHxmnT9rwqZ","Tum Mile","Tum Mile (Original Motion Picture Soundtrack)","Pritam,Neeraj Shridhar",2009-09-08,343786,71,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,indian instrumental,modern bollywood",0.738,0.798,0,-6.663,1,0.0334,0.32,0.00000515,0.31,0.793,123.01,4
3OLFqbd9ZeVjaUKTiaLsD6,"1wRPtKGflJrBx9BmLsSwlU,4W91bbPB2CTSsHwt7eqNl7,5OG0IXzIqYPB67VMlEJOo0,0NeoPmJb4LMYLHhX8OVaNA","Tu Hi Haqeeqat","Tum Mile (Original Motion Picture Soundtrack)","Pritam,Javed Ali,Irshan Ashraf,Shadab",2009-09-08,302026,72,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,indian instrumental,modern bollywood,desi pop",0.705,0.744,4,-5.416,0,0.0341,0.582,0,0.2,0.706,115.959,4
6FeZYabejzQ0H021NJ6j9Y,"1mBydYMVBECdDmMfE2sEUO,0oOet2f43PA68X5RxKobEy,6k6dimE4a6OFnD0HWmkIUW","Saibo (From Shor in the City)","Jee Ve Sohaneya","Sachin-Jigar,Shreya Ghoshal,Tochi Raina",2017-08-03,195253,38,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,gujarati pop,modern bollywood",0.619,0.429,2,-7.867,1,0.028,0.738,0.0000135,0.136,0.545,90.058,4
7fyiYhn7STpHvT5g0lbncC,"1wRPtKGflJrBx9BmLsSwlU,4YRxDV8wJFPHPTeXepOstw","Ik Vaari Aa","Raabta","Pritam,Arijit Singh",2017-06-03,274687,71,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,indian instrumental,modern bollywood",0.512,0.752,4,-4.857,0,0.0534,0.305,0,0.708,0.428,127.965,4
0iXLwnLmLwn9y54JtBTNxY,"1dVygo6tRFXC8CSWURQJq2,0oOet2f43PA68X5RxKobEy","Main Agar Kahoon","Om Shanti Om","Sonu Nigam,Shreya Ghoshal",2007-09-18,308158,69,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood",0.533,0.436,5,-7.521,0,0.0276,0.234,0.00000317,0.46,0.371,146.868,3
0gRNu9dVzi5aC87AI1empZ,"554yyXUEFseU1dwvisHTik,5cB4d4jPYjMT326sjihQ4m","Jab Se Tere Naina","Saawariya (Original Motion Picture Soundtrack)","Monty Sharma,Shaan",2007-09-14,284573,71,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:23:35Z,"filmi,modern bollywood",0.599,0.653,0,-7.576,0,0.122,0.362,0,0.144,0.678,79.968,4
