Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2pNe8OItnBBe81zkKL5wJn,"36iDrP3UnCxsSH9LuSdkDj,5J23fam8Qq5thmzmk91qob,1oUC0FZ7PmdPnT6iax2fsC","Gabbar Bhi Nachega (feat. Nidhi Sharma)","Gabbar Bhi Nachega (feat. Nidhi Sharma)","Masoom Sharma,Ashu Twinkle,Nidhi Sharma",2023-09-18,166114,65,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi pop",0.852,0.919,8,-2.368,0,0.0387,0.0712,0,0.246,0.661,104.984,4
0NuWRfZRWzn1oc9piFhK9n,"5WZViOJ21095FUcGPMpKFF,597A6e3D22Vq4gxyh4mUjh","Laado","Laado","MC SQUARE,Hiten",2023-08-30,148615,78,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi hip hop",0.871,0.548,2,-8.912,1,0.186,0.669,0.000157,0.12,0.652,129.972,4
2AsFym2RC0buSKWUZKCInJ,"3S5qUEOkwo1UzAAdB6lUt4,5apXJg5GUrFPVqRe4prxKh","Sher Gelya Yaari","Sher Gelya Yaari","Arvind Jangid,Nonu Rana",2023-03-18,255152,45,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi pop",0.802,0.909,7,-1.272,0,0.0553,0.28,0,0.256,0.47,101.968,4
7gjaJ3UDCITdzclyDd30gC,"1nReJyCgrkUDk0VfCGXpQ4,6s3N1jFz2YrJPCEvbF5gDN,7KYFWfSqo2upTCuigHx2qH","लिख देगा के Jaani","लिख देगा के Jaani","Gold E Gill,ADDI KALYAN,Raveena Bishnoi",2023-01-31,193043,60,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"",0.855,0.704,8,-1.704,1,0.0406,0.56,0,0.127,0.68,91.97,4
4rz26F2pzUAa8IC8Y0XOTQ,"0481f4CMOOSlFB69C2wyZf","18 Lakh","18 Lakh","Raj Mawar",2022-06-13,177246,61,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi hip hop",0.682,0.845,4,-3.721,0,0.282,0.103,0,0.0881,0.793,172.249,4
07vwqeQSwXf8bcByx9BoMr,"36iDrP3UnCxsSH9LuSdkDj,4QirDUwZFIIRDP3tL7gB6E,5TF8wtgrYplT0tJFjoV9Me,3VJGHT0QL4RFU1DVpinyo3","Bhagatt Aadmi","Bhagatt Aadmi","Masoom Sharma,Anjali 99,Pranjal Dahiya,Aman Jaji",2022-05-31,195294,63,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi pop,haryanvi hip hop",0.848,0.83,4,-3.732,0,0.141,0.111,0,0.113,0.783,102.006,4
6uPYvyMu6NTHVE8QU0aAdU,"4naSOUBsPQeISuibs56w6Y,0zVGGSBVti6Dx67hJstvSf,0JY6lYMH2TWsx3ODKc2uwo","Fortuner","Fortuner","Vikram Sarkar,Manisha Sharma,Khushi Baliyan",2022-09-12,188653,61,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi hip hop",0.837,0.699,7,-4.946,0,0.0403,0.0303,0,0.482,0.763,104.017,4
3FZSXomcOuPHAsO8uPbYLw,"6ojAHTLwaSTS3DhFeajzft,1VFvaY2HVyVJCf6veMLF5G,5bZrXT0Go8MZmvxJmZGYde","Bandook","Bandook","Harsh Sandhu,Vipin Mehandipuria,Paranjal Dahiya",2021-11-24,196487,59,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi pop",0.735,0.872,3,-3.391,0,0.0719,0.271,0,0.338,0.745,102,4
35LSpG3jNaTKvweNhS0e6H,"36iDrP3UnCxsSH9LuSdkDj,0zVGGSBVti6Dx67hJstvSf,5TF8wtgrYplT0tJFjoV9Me,11RL0P8BYXqoAChg4JkUZZ","Paati Paati Jeans","Paati Paati Jeans","Masoom Sharma,Manisha Sharma,Pranjal Dahiya,Jaivir Rathee",2022-12-01,172105,59,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi pop,haryanvi hip hop",0.726,0.727,3,-3.732,0,0.103,0.51,0,0.0706,0.665,151.535,4
1qKsKi3nnS8JjQfJNwZ49X,"2MrTNaowqRRDiTj0FKHvZP,3NDoCvXtQOPngtgRsqjcd3,68Zi4yF7GdesbYgTEEZPDZ,0JY6lYMH2TWsx3ODKc2uwo","Thar","Thar","Jassi Kirarkot,Komal Chaudhary,Love Kataria,Khushi Baliyan",2023-04-14,160956,63,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:21:49Z,"haryanvi pop",0.787,0.863,7,-4.023,0,0.213,0.218,0,0.496,0.729,103.984,4
