Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ZzUOWnQuNxenx2MbZqtYq,"4PULA4EFzYTrxYvOVlwpiQ,08mu3VEvLCIWDq4t0NNoTN,5Us2dsq4VHlfLbKOrskg7K","Watch Out","Watch Out","Sidhu Moose Wala,Sikander Kahlon,Mxrci",2023-11-12,236168,75,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi hip hop,pakistani hip hop,punjabi hip hop,punjabi pop",0.465,0.646,7,-6.882,1,0.184,0.00563,0,0.191,0.336,99.436,4
610keNiNVTIkYD0CqeSerg,"0uOUeC51AxGnP6hB8gurwt,0QntOArZgiNHoemAzwJPu5","California Love","ANYWAY","Cheema Y,Gur Sidhu",2023-01-30,175686,78,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop",0.648,0.609,1,-6.467,0,0.314,0.126,0.00000228,0.107,0.405,177.981,4
5ZLkihi6DVsHwDL3B8ym1t,"5r3wPya2PpeTTsXsGhQU8O","One Love","One Love","Shubh",2023-08-18,159222,86,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi hip hop",0.848,0.512,7,-7.757,1,0.118,0.284,0.00645,0.101,0.881,144.926,4
6HEKcj2LfAd5oiceKWKjqU,"5CGQa62CAweD76eHlDmp1m,0nMjrfJdkdeEdNHDU72Rn1","Note","Let's Go","Dilpreet Dhillon,Mandeep Maavi",2023-11-13,187010,54,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop",0.677,0.572,1,-6.776,1,0.42,0.172,0,0.0891,0.714,87.446,4
1YKPRycM3GzKbZUYDgLrmn,"3pQ4aA7dkolyjUAMrVScgh,5bppkTlu7F930pWlNn1b1g","Arjan Vailly (From ANIMAL)","Arjan Vailly (From ANIMAL)","Manan Bhardwaj,Bhupinder Babbal",2023-11-18,182170,61,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi pop,modern bollywood",0.532,0.825,3,-3.239,0,0.0798,0.241,0,0.31,0.878,75.723,4
24MMjyA3NLqCsDJfsn51eg,"74RGMjbSsFv5RLj8wVx9Yv,6nAMu7pGqdwUSsGMZPUvSk,1i31OYo0s5VoMCaMRJFZkJ","Mi Amor","Mi Amor","Sharn,40k,The Paul",2022-09-30,203048,81,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi pop",0.637,0.703,4,-5.297,0,0.0789,0.53,0.00000423,0.11,0.553,81.99,4
0YQJoDL6f46J0n1rOVkpxJ,"6DARBhWbfcS9E4yJzcliqQ,3nqS8jzqmsPKFJTp0BOIel","Softly","Making Memories","Karan Aujla,Ikky",2023-08-18,155161,84,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi hip hop,punjabi pop",0.735,0.564,8,-7.786,1,0.204,0.191,0,0.0791,0.902,92.986,4
6c4Po8zyQjB4cR5XgLhcGb,"0VAIiNSKG4DWkSaIy5qWz1,47SaOSOqcrxSJNZUuqpLuu,54E3dYx7RpaGZaDVXJTWjr","9:45","9:45","Prabh Singh,Jay Trak,Rooh Sandhu",2023-03-10,117606,82,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop",0.796,0.455,1,-7.763,0,0.0997,0.637,0.00000359,0.156,0.352,99.958,4
4eBvRhTJ2AcxCsbfTUjoRp,"5r3wPya2PpeTTsXsGhQU8O","Cheques","Still Rollin","Shubh",2023-05-19,183756,85,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi hip hop",0.742,0.627,4,-8.939,0,0.0533,0.262,0.0000123,0.269,0.356,89.998,4
2oenSXLDbWVaaL7QjSGYj5,"2FKWNmZWDBZR4dE5KX4plR,0OS0NZnK7TGIAWx8MkWNFN,7frYUe4C7A42uZqCzD34Y4","Lalkara","Ghost","Diljit Dosanjh,Intense,Sultaan",2023-09-29,160500,72,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"filmi,modern bollywood,punjabi pop,punjabi hip hop",0.85,0.557,0,-4.503,0,0.0431,0.0365,0.00000208,0.131,0.468,96.99,4
72vuBPMhwFNlSYpTSf6fVD,"2FKWNmZWDBZR4dE5KX4plR,5WUlDfRSoLAfcVSX1WnrxN,2sWf9Tj6EsTxURcgil3NTG","Hass Hass","Hass Hass","Diljit Dosanjh,Sia,Greg Kurstin",2023-10-26,153016,81,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"filmi,modern bollywood,punjabi pop,australian dance,australian pop,pop",0.726,0.804,6,-4.775,0,0.078,0.0348,0.00000559,0.361,0.644,90.983,4
4VosVUajzm6nzGlSb6nP3L,"3OQRPFFS3OsltFjFAXu1kE,3fWcIRZlzhMl2YNACMvHui","Check It Out","Check It Out","Parmish Verma,Paradox",2023-06-27,195957,78,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop,desi emo rap,desi hip hop,desi pop,desi trap",0.923,0.705,8,-4.548,0,0.26,0.0992,0.00000412,0.198,0.587,94.022,4
6oz1L5jcqZWYuId7nxvIan,"5r3wPya2PpeTTsXsGhQU8O","Still Rollin","Still Rollin","Shubh",2023-05-19,174730,82,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi hip hop",0.881,0.431,6,-11.093,0,0.0914,0.182,0.0018,0.113,0.246,94,4
3s6bB02odIXvM3OpnqgzNN,"4eB5clMaoi0cCRnCwLkkiS,2vJvM1hPBYqDoGBje0kRMd,3BmI2nuXJ2sCiVa3miR7PT","Ayee","Ayee","Harnoor,Jassa Dhillon,Ilam",2023-09-21,146526,72,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop",0.869,0.521,11,-9.376,0,0.162,0.567,0,0.101,0.485,94.981,4
18kRElgBSIAsd3DHPUajuI,"2FKWNmZWDBZR4dE5KX4plR,54BjV0qctcWp8xOip7uaJD","Jatt Vailly","Ghost","Diljit Dosanjh,thiarajxtt",2023-09-29,151989,70,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"filmi,modern bollywood,punjabi pop",0.868,0.523,7,-7.487,1,0.058,0.052,0.0000136,0.22,0.799,98.038,4
2uWZ7EGddFlA1DJ3Rzzvs2,"6DARBhWbfcS9E4yJzcliqQ,3nqS8jzqmsPKFJTp0BOIel,5DzbLrOUJEiT6kx68Dnqxr","Bachke Bachke (feat. Yarah)","Making Memories","Karan Aujla,Ikky,Yarah",2023-08-18,210117,76,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi hip hop,punjabi pop,canadian contemporary r&b",0.665,0.541,3,-5.864,0,0.0861,0.394,0,0.393,0.461,88.086,4
0xIuPDzJSnJywALez8dwKR,"6LEG9Ld1aLImEFEVHdWNSB","With You","With You","AP Dhillon",2023-08-11,154554,83,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi pop,punjabi hip hop,punjabi pop",0.78,0.744,2,-4.773,1,0.0298,0.161,0.0011,0.201,0.925,116.978,4
5RaK2eqyHaBSyjEtI27w3T,"6DARBhWbfcS9E4yJzcliqQ,3nqS8jzqmsPKFJTp0BOIel","Try Me","Making Memories","Karan Aujla,Ikky",2023-08-18,195360,75,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"desi hip hop,punjabi pop",0.627,0.876,1,-4.857,1,0.0642,0.00601,0,0.65,0.397,97.244,4
4hYKmQvLi2yaFAd7Kx07Vp,"3TozxPbDes76aGFdfv7PMv,1292Fb98poF6N9aEk9oibw","Tareefan","Tareefan","Jordan Sandhu,Mehar Vaani",2023-08-19,192000,73,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop",0.74,0.628,7,-5.348,1,0.0999,0.0629,0,0.0826,0.639,80.003,4
03yKEFruN3BS2coglBtt2N,"3lmszXxkp47K9kDCRRPU8p,3OQRPFFS3OsltFjFAXu1kE,55kkrbuMkdzPGD7YGA6xrJ","Rubicon Drill","Forever","Laddi Chahal,Parmish Verma,Gurlez Akhtar",2022-11-16,188571,76,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"punjabi pop",0.868,0.745,11,-5.82,0,0.268,0.187,0.000342,0.431,0.762,139.9,4
3F3ZuXYFXGM1V6pk3b3zmi,"2FKWNmZWDBZR4dE5KX4plR,54BjV0qctcWp8xOip7uaJD","Kinni Kinni","Ghost","Diljit Dosanjh,thiarajxtt",2023-09-29,213344,64,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:19:37Z,"filmi,modern bollywood,punjabi pop",0.883,0.525,3,-8.391,0,0.112,0.517,0.00046,0.0734,0.608,97.005,4
